timestamp,sector,geo_area,total_units,total_people_on_shift,active_incidents,utilization_ratio,overload_flag
2025-11-18T19:41:47.110347+00:00,National Guard,AREA_026,39,81,8,1.0,1
2025-11-18T05:40:47.110347+00:00,General Investigation,AREA_024,90,648,80,1.0,1
2025-12-09T20:24:47.110347+00:00,Civil Defense,AREA_043,73,407,38,1.0,1
2025-11-21T17:08:47.110347+00:00,Narcotics Control,AREA_019,135,809,23,0.24,0
2025-11-15T06:19:47.110347+00:00,Police,AREA_011,134,886,37,0.496,0
2025-11-27T13:38:47.110347+00:00,National Guard,AREA_007,54,43,41,1.0,1
2025-11-26T06:26:47.110347+00:00,General Investigation,AREA_051,14,477,102,1.0,1
2025-11-14T12:24:47.110347+00:00,Police,AREA_019,157,1036,50,0.694,0
2025-11-28T19:35:47.110347+00:00,Police,AREA_036,115,895,12,0.311,0
2025-11-29T09:01:47.110347+00:00,Ambulance,AREA_024,55,265,18,0.862,1
2025-11-30T23:04:47.110347+00:00,National Guard,AREA_010,20,465,113,1.0,1
2025-11-19T02:32:47.110347+00:00,Ambulance,AREA_045,138,622,11,0.442,0
2025-11-20T09:41:47.110347+00:00,General Investigation,AREA_023,122,641,29,0.552,0
2025-11-17T11:32:47.110347+00:00,National Guard,AREA_049,114,659,66,1.0,1
2025-12-02T14:02:47.110347+00:00,General Investigation,AREA_010,171,1026,60,1.0,1
2025-11-24T13:02:47.110347+00:00,National Guard,AREA_003,162,291,114,1.0,1
2025-11-18T02:26:47.110347+00:00,Police,AREA_011,84,873,5,0.179,0
2025-12-12T00:45:47.110347+00:00,Narcotics Control,AREA_034,57,900,117,1.0,1
2025-11-30T14:59:47.110347+00:00,Police,AREA_021,141,741,82,1.0,1
2025-12-11T19:00:47.110347+00:00,Civil Defense,AREA_051,173,1039,62,0.887,1
2025-12-04T13:31:47.110347+00:00,Ambulance,AREA_057,164,764,35,0.856,1
2025-12-09T20:13:47.110347+00:00,Civil Defense,AREA_050,130,1139,42,0.478,0
2025-11-30T22:30:47.110347+00:00,Police,AREA_010,103,298,21,0.855,1
2025-11-22T08:52:47.110347+00:00,Police,AREA_041,51,86,87,1.0,1
2025-12-01T01:56:47.110347+00:00,General Investigation,AREA_051,175,107,90,1.0,1
2025-12-12T02:47:47.110347+00:00,General Investigation,AREA_032,156,644,113,1.0,1
2025-12-03T05:20:47.110347+00:00,Ambulance,AREA_024,163,787,29,0.277,0
2025-11-22T10:23:47.110347+00:00,Police,AREA_032,153,261,11,0.543,0
2025-11-19T01:49:47.110347+00:00,National Guard,AREA_019,128,147,34,1.0,1
2025-11-30T20:13:47.110347+00:00,Police,AREA_024,168,676,16,0.346,0
2025-11-15T15:00:47.110347+00:00,Police,AREA_023,83,284,86,1.0,1
2025-12-02T08:35:47.110347+00:00,National Guard,AREA_030,66,176,56,1.0,1
2025-12-11T13:09:47.110347+00:00,National Guard,AREA_012,161,1145,111,1.0,1
2025-12-08T19:42:47.110347+00:00,Police,AREA_043,35,932,15,0.469,0
2025-11-26T19:36:47.110347+00:00,Civil Defense,AREA_041,101,1140,108,1.0,1
2025-12-10T05:56:47.110347+00:00,Narcotics Control,AREA_036,171,826,115,1.0,1
2025-12-08T01:04:47.110347+00:00,Civil Defense,AREA_025,96,515,11,0.202,0
2025-12-09T16:15:47.110347+00:00,Ambulance,AREA_025,33,206,53,1.0,1
2025-12-04T03:19:47.110347+00:00,General Investigation,AREA_009,34,792,96,1.0,1
2025-11-20T02:30:47.110347+00:00,Police,AREA_039,24,266,110,1.0,1
2025-11-18T00:04:47.110347+00:00,Narcotics Control,AREA_022,172,852,91,0.893,1
2025-12-08T04:50:47.110347+00:00,National Guard,AREA_059,150,156,5,0.593,0
2025-12-07T14:22:47.110347+00:00,Police,AREA_012,96,557,25,0.52,0
2025-11-22T03:31:47.110347+00:00,General Investigation,AREA_030,171,303,65,1.0,1
2025-12-05T12:52:47.110347+00:00,General Investigation,AREA_004,41,799,108,1.0,1
2025-11-22T09:10:47.110347+00:00,Police,AREA_039,65,397,44,1.0,1
2025-11-30T07:35:47.110347+00:00,Police,AREA_030,148,1078,72,0.727,0
2025-11-27T18:03:47.110347+00:00,Narcotics Control,AREA_008,58,238,44,1.0,1
2025-11-17T04:59:47.110347+00:00,Ambulance,AREA_021,64,84,39,1.0,1
2025-11-14T15:02:47.110347+00:00,General Investigation,AREA_014,126,746,16,0.662,0
2025-11-21T05:41:47.110347+00:00,General Investigation,AREA_001,95,292,96,1.0,1
2025-12-02T05:44:47.110347+00:00,Narcotics Control,AREA_028,97,391,111,1.0,1
2025-12-08T05:46:47.110347+00:00,Police,AREA_035,164,43,73,1.0,1
2025-12-12T09:00:47.110347+00:00,Police,AREA_056,130,315,70,1.0,1
2025-12-12T21:38:47.110347+00:00,General Investigation,AREA_052,89,972,6,0.28,0
2025-11-28T13:50:47.110347+00:00,Ambulance,AREA_008,127,989,31,0.605,0
2025-12-02T02:43:47.110347+00:00,Narcotics Control,AREA_031,138,922,113,1.0,1
2025-12-07T08:42:47.110347+00:00,Civil Defense,AREA_030,167,121,107,1.0,1
2025-12-12T11:34:47.110347+00:00,Ambulance,AREA_026,22,854,59,0.805,0
2025-12-09T17:00:47.110347+00:00,Police,AREA_046,178,110,83,1.0,1
2025-12-03T15:55:47.110347+00:00,Police,AREA_051,167,169,40,1.0,1
2025-11-13T15:56:47.110347+00:00,Narcotics Control,AREA_010,137,1110,118,1.0,1
2025-11-15T16:40:47.110347+00:00,Ambulance,AREA_027,177,214,77,1.0,1
2025-12-02T16:27:47.110347+00:00,Police,AREA_009,149,505,76,1.0,1
2025-11-17T18:19:47.110347+00:00,Civil Defense,AREA_055,69,310,31,0.881,1
2025-11-22T16:09:47.110347+00:00,Civil Defense,AREA_005,19,134,40,1.0,1
2025-11-16T20:14:47.110347+00:00,Ambulance,AREA_016,68,484,93,1.0,1
2025-12-07T03:06:47.110347+00:00,Police,AREA_036,92,564,46,0.623,0
2025-11-19T12:04:47.110347+00:00,Police,AREA_030,168,399,39,1.0,1
2025-12-13T00:45:47.110347+00:00,Civil Defense,AREA_007,75,225,117,1.0,1
2025-12-01T12:42:47.110347+00:00,Civil Defense,AREA_049,11,611,42,0.796,0
2025-11-14T04:42:47.110347+00:00,Police,AREA_030,10,971,85,1.0,1
2025-11-14T20:41:47.110347+00:00,National Guard,AREA_046,106,52,99,1.0,1
2025-11-21T17:44:47.110347+00:00,Ambulance,AREA_051,47,56,90,1.0,1
2025-11-15T02:16:47.110347+00:00,National Guard,AREA_003,25,780,30,0.685,0
2025-11-22T05:22:47.110347+00:00,General Investigation,AREA_046,73,76,12,1.0,1
2025-11-21T15:05:47.110347+00:00,General Investigation,AREA_055,120,1031,82,1.0,1
2025-11-18T21:16:47.110347+00:00,Civil Defense,AREA_026,112,790,5,0.067,0
2025-11-28T04:30:47.110347+00:00,Ambulance,AREA_058,10,487,85,1.0,1
2025-12-03T20:45:47.110347+00:00,Narcotics Control,AREA_041,32,761,46,0.903,1
2025-11-14T11:57:47.110347+00:00,National Guard,AREA_039,155,314,50,1.0,1
2025-11-30T08:23:47.110347+00:00,Ambulance,AREA_016,147,626,37,0.816,0
2025-11-19T00:45:47.110347+00:00,General Investigation,AREA_055,105,629,93,1.0,1
2025-12-02T04:34:47.110347+00:00,National Guard,AREA_020,152,696,3,0.049,0
2025-11-20T14:18:47.110347+00:00,General Investigation,AREA_051,78,549,105,1.0,1
2025-11-17T05:02:47.110347+00:00,Police,AREA_009,12,456,52,1.0,1
2025-11-24T16:06:47.110347+00:00,Ambulance,AREA_026,97,824,4,0.371,0
2025-12-03T23:01:47.110347+00:00,Civil Defense,AREA_038,143,413,10,0.44,0
2025-12-05T07:40:47.110347+00:00,Police,AREA_046,25,1131,119,1.0,1
2025-12-03T05:20:47.110347+00:00,Ambulance,AREA_026,66,573,114,1.0,1
2025-11-28T19:25:47.110347+00:00,Police,AREA_039,17,567,75,1.0,1
2025-11-20T22:00:47.110347+00:00,Narcotics Control,AREA_032,119,874,40,0.653,0
2025-11-16T21:06:47.110347+00:00,National Guard,AREA_028,30,231,29,1.0,1
2025-11-25T01:46:47.110347+00:00,Narcotics Control,AREA_004,131,804,57,1.0,1
2025-11-23T05:54:47.110347+00:00,Narcotics Control,AREA_028,32,1129,71,0.729,0
2025-11-27T12:45:47.110347+00:00,Ambulance,AREA_033,89,1014,18,0.157,0
2025-11-19T20:43:47.110347+00:00,Police,AREA_022,157,338,12,0.558,0
2025-12-09T04:50:47.110347+00:00,Narcotics Control,AREA_018,24,588,62,1.0,1
2025-12-02T12:18:47.110347+00:00,Narcotics Control,AREA_015,28,721,28,0.71,0
2025-12-01T22:45:47.110347+00:00,Ambulance,AREA_002,113,231,93,1.0,1
2025-12-02T03:40:47.110347+00:00,National Guard,AREA_024,145,1159,13,0.251,0
2025-11-16T11:03:47.110347+00:00,Police,AREA_034,97,441,100,1.0,1
2025-11-28T00:38:47.110347+00:00,National Guard,AREA_050,38,792,21,0.534,0
2025-12-10T12:50:47.110347+00:00,Police,AREA_044,32,602,90,1.0,1
2025-11-29T09:12:47.110347+00:00,General Investigation,AREA_059,146,46,53,1.0,1
2025-11-19T01:49:47.110347+00:00,Civil Defense,AREA_050,130,346,51,1.0,1
2025-11-29T12:35:47.110347+00:00,Civil Defense,AREA_024,136,860,51,0.822,0
2025-11-23T03:13:47.110347+00:00,Civil Defense,AREA_057,17,1024,105,1.0,1
2025-12-02T21:20:47.110347+00:00,National Guard,AREA_008,80,534,116,1.0,1
2025-12-10T00:22:47.110347+00:00,Civil Defense,AREA_001,50,829,28,0.316,0
2025-11-14T21:59:47.110347+00:00,National Guard,AREA_014,128,96,118,1.0,1
2025-11-19T08:09:47.110347+00:00,Narcotics Control,AREA_019,179,722,99,1.0,1
2025-12-12T01:50:47.110347+00:00,Ambulance,AREA_010,126,994,13,0.353,0
2025-11-28T09:40:47.110347+00:00,Police,AREA_045,127,590,66,1.0,1
2025-12-08T23:55:47.110347+00:00,Civil Defense,AREA_043,25,601,44,0.855,1
2025-12-01T04:14:47.110347+00:00,General Investigation,AREA_056,149,927,68,0.755,0
2025-12-12T17:47:47.110347+00:00,Ambulance,AREA_001,108,960,52,0.877,1
2025-11-24T18:06:47.110347+00:00,Civil Defense,AREA_051,39,742,29,0.584,0
2025-12-04T01:41:47.110347+00:00,Civil Defense,AREA_023,79,920,118,1.0,1
2025-12-04T12:56:47.110347+00:00,Ambulance,AREA_006,125,243,2,0.369,0
2025-11-23T01:07:47.110347+00:00,Civil Defense,AREA_021,42,321,104,1.0,1
2025-12-11T03:41:47.110347+00:00,National Guard,AREA_041,140,1050,29,0.489,0
2025-11-21T22:20:47.110347+00:00,General Investigation,AREA_018,77,565,34,0.733,0
2025-12-06T10:31:47.110347+00:00,General Investigation,AREA_001,160,1156,69,0.723,0
2025-11-24T22:48:47.110347+00:00,Civil Defense,AREA_010,74,234,19,0.672,0
2025-12-07T23:41:47.110347+00:00,General Investigation,AREA_018,176,1038,34,0.403,0
2025-12-12T03:37:47.110347+00:00,General Investigation,AREA_019,82,1173,60,0.647,0
2025-11-30T22:47:47.110347+00:00,General Investigation,AREA_020,119,739,97,1.0,1
2025-11-16T11:36:47.110347+00:00,Ambulance,AREA_028,167,1094,112,1.0,1
2025-11-27T23:45:47.110347+00:00,Ambulance,AREA_056,143,274,46,1.0,1
2025-12-08T04:08:47.110347+00:00,Police,AREA_030,137,58,93,1.0,1
2025-12-06T01:39:47.110347+00:00,Narcotics Control,AREA_002,53,555,73,1.0,1
2025-11-18T14:31:47.110347+00:00,Police,AREA_026,155,65,56,1.0,1
2025-11-19T18:27:47.110347+00:00,National Guard,AREA_043,64,584,103,1.0,1
2025-11-29T07:53:47.110347+00:00,General Investigation,AREA_057,62,1146,55,0.894,1
2025-12-02T13:01:47.110347+00:00,Civil Defense,AREA_029,95,77,107,1.0,1
2025-12-08T05:39:47.110347+00:00,General Investigation,AREA_038,28,383,32,0.988,1
2025-11-25T01:14:47.110347+00:00,Police,AREA_017,30,423,12,0.413,0
2025-11-19T11:51:47.110347+00:00,Civil Defense,AREA_018,30,609,31,0.723,0
2025-11-22T15:21:47.110347+00:00,General Investigation,AREA_025,49,662,105,1.0,1
2025-12-11T01:01:47.110347+00:00,Police,AREA_043,46,757,18,0.4,0
2025-11-20T05:57:47.110347+00:00,Narcotics Control,AREA_014,111,64,48,1.0,1
2025-11-15T15:59:47.110347+00:00,Civil Defense,AREA_018,140,686,106,1.0,1
2025-12-08T15:40:47.110347+00:00,National Guard,AREA_001,112,768,115,1.0,1
2025-12-08T10:28:47.110347+00:00,Narcotics Control,AREA_012,159,657,68,1.0,1
2025-12-04T03:48:47.110347+00:00,Narcotics Control,AREA_013,120,1005,41,0.58,0
2025-11-17T10:06:47.110347+00:00,General Investigation,AREA_059,142,657,50,1.0,1
2025-11-18T15:48:47.110347+00:00,Police,AREA_035,11,807,2,0.057,0
2025-11-27T23:20:47.110347+00:00,National Guard,AREA_004,151,255,14,0.581,0
2025-11-22T06:28:47.110347+00:00,Civil Defense,AREA_028,16,500,16,0.455,0
2025-12-12T23:15:47.110347+00:00,Civil Defense,AREA_018,155,200,114,1.0,1
2025-11-27T22:23:47.110347+00:00,Police,AREA_037,126,1184,54,0.591,0
2025-12-04T03:25:47.110347+00:00,General Investigation,AREA_047,20,593,8,0.373,0
2025-11-16T01:56:47.110347+00:00,Narcotics Control,AREA_054,125,1177,20,0.289,0
2025-12-10T18:51:47.110347+00:00,Narcotics Control,AREA_031,104,774,1,0.208,0
2025-12-06T00:46:47.110347+00:00,Ambulance,AREA_003,23,711,12,0.385,0
2025-12-10T09:37:47.110347+00:00,Ambulance,AREA_045,112,714,108,1.0,1
2025-11-30T00:13:47.110347+00:00,Civil Defense,AREA_046,60,329,20,0.873,1
2025-11-22T17:03:47.110347+00:00,National Guard,AREA_052,78,703,114,1.0,1
2025-11-28T18:44:47.110347+00:00,Police,AREA_020,15,579,28,0.401,0
2025-12-02T03:33:47.110347+00:00,National Guard,AREA_013,16,395,66,1.0,1
2025-12-08T06:49:47.110347+00:00,Narcotics Control,AREA_051,155,922,35,0.591,0
2025-11-23T07:02:47.110347+00:00,General Investigation,AREA_007,89,526,96,1.0,1
2025-12-07T04:29:47.110347+00:00,Police,AREA_002,10,1043,112,1.0,1
2025-11-29T12:09:47.110347+00:00,Ambulance,AREA_037,170,798,21,0.403,0
2025-11-24T10:40:47.110347+00:00,Narcotics Control,AREA_032,93,345,63,1.0,1
2025-11-15T14:02:47.110347+00:00,National Guard,AREA_007,168,142,33,1.0,1
2025-12-13T10:29:47.110347+00:00,Ambulance,AREA_059,168,860,107,1.0,1
2025-12-06T06:54:47.110347+00:00,Police,AREA_019,123,62,72,1.0,1
2025-12-01T12:30:47.110347+00:00,Narcotics Control,AREA_053,30,1116,97,1.0,1
2025-12-10T02:38:47.110347+00:00,Civil Defense,AREA_047,67,1146,4,0.027,0
2025-12-04T15:12:47.110347+00:00,National Guard,AREA_042,156,797,4,0.154,0
2025-12-06T10:58:47.110347+00:00,General Investigation,AREA_023,35,387,48,1.0,1
2025-11-20T07:54:47.110347+00:00,National Guard,AREA_048,71,681,116,1.0,1
2025-11-16T18:16:47.110347+00:00,Police,AREA_044,101,999,44,0.574,0
2025-11-30T03:29:47.110347+00:00,Police,AREA_058,94,139,117,1.0,1
2025-12-10T16:44:47.110347+00:00,Ambulance,AREA_044,133,238,29,1.0,1
2025-11-15T19:44:47.110347+00:00,Narcotics Control,AREA_006,60,452,24,0.813,0
2025-12-13T06:36:47.110347+00:00,National Guard,AREA_052,131,1079,6,0.016,0
2025-11-18T05:27:47.110347+00:00,Ambulance,AREA_054,161,691,106,1.0,1
2025-12-08T19:40:47.110347+00:00,General Investigation,AREA_030,96,131,67,1.0,1
2025-12-07T15:18:47.110347+00:00,General Investigation,AREA_022,158,918,55,0.777,0
2025-12-10T16:16:47.110347+00:00,General Investigation,AREA_034,154,691,48,1.0,1
2025-11-15T18:58:47.110347+00:00,Police,AREA_008,75,74,57,1.0,1
2025-11-21T00:20:47.110347+00:00,General Investigation,AREA_007,10,343,98,1.0,1
2025-11-25T18:54:47.110347+00:00,Police,AREA_014,64,231,10,0.829,0
2025-11-21T06:47:47.110347+00:00,Civil Defense,AREA_059,100,818,80,1.0,1
2025-12-09T22:10:47.110347+00:00,Narcotics Control,AREA_018,28,454,52,1.0,1
2025-12-06T10:00:47.110347+00:00,National Guard,AREA_036,29,553,91,1.0,1
2025-12-09T19:20:47.110347+00:00,Narcotics Control,AREA_034,100,245,109,1.0,1
2025-12-07T02:42:47.110347+00:00,National Guard,AREA_028,21,1036,99,1.0,1
2025-11-29T22:34:47.110347+00:00,Civil Defense,AREA_017,172,857,18,0.527,0
2025-12-08T09:33:47.110347+00:00,Ambulance,AREA_022,13,439,95,1.0,1
2025-11-29T04:04:47.110347+00:00,Civil Defense,AREA_050,17,719,114,1.0,1
2025-12-11T23:09:47.110347+00:00,Civil Defense,AREA_008,56,578,0,0.189,0
2025-11-14T01:18:47.110347+00:00,Police,AREA_030,96,296,80,1.0,1
2025-11-29T10:11:47.110347+00:00,National Guard,AREA_016,160,795,64,1.0,1
2025-12-07T20:48:47.110347+00:00,Civil Defense,AREA_000,177,665,27,0.721,0
2025-11-15T13:51:47.110347+00:00,National Guard,AREA_055,31,802,47,0.645,0
2025-12-08T23:33:47.110347+00:00,Ambulance,AREA_054,78,843,66,0.749,0
2025-11-19T04:27:47.110347+00:00,Civil Defense,AREA_026,10,1098,70,0.963,1
2025-11-22T11:35:47.110347+00:00,National Guard,AREA_033,91,758,72,0.989,1
2025-12-02T02:39:47.110347+00:00,Police,AREA_058,99,695,99,1.0,1
2025-11-26T07:33:47.110347+00:00,National Guard,AREA_053,95,486,35,1.0,1
2025-11-28T21:58:47.110347+00:00,Police,AREA_025,150,837,112,1.0,1
2025-12-09T06:50:47.110347+00:00,Civil Defense,AREA_035,51,662,22,0.42,0
2025-11-20T12:19:47.110347+00:00,Ambulance,AREA_032,143,1169,30,0.376,0
2025-12-04T10:47:47.110347+00:00,General Investigation,AREA_041,124,143,44,1.0,1
2025-11-28T13:47:47.110347+00:00,National Guard,AREA_033,116,1130,86,0.952,1
2025-12-06T14:22:47.110347+00:00,National Guard,AREA_054,86,565,49,1.0,1
2025-12-05T19:59:47.110347+00:00,Ambulance,AREA_026,30,528,8,0.377,0
2025-11-28T05:32:47.110347+00:00,Ambulance,AREA_023,18,279,30,1.0,1
2025-11-14T08:21:47.110347+00:00,Ambulance,AREA_050,60,111,54,1.0,1
2025-12-07T09:07:47.110347+00:00,Narcotics Control,AREA_007,131,486,2,0.107,0
2025-12-03T22:40:47.110347+00:00,National Guard,AREA_016,160,1020,41,0.653,0
2025-11-21T14:50:47.110347+00:00,General Investigation,AREA_000,155,641,44,1.0,1
2025-11-19T20:46:47.110347+00:00,Police,AREA_029,50,178,60,1.0,1
2025-11-28T12:56:47.110347+00:00,Narcotics Control,AREA_032,35,183,82,1.0,1
2025-11-16T07:40:47.110347+00:00,National Guard,AREA_026,159,445,71,1.0,1
2025-12-11T03:33:47.110347+00:00,General Investigation,AREA_055,149,1123,44,0.866,1
2025-11-30T13:58:47.110347+00:00,Narcotics Control,AREA_040,140,1041,10,0.084,0
2025-11-28T14:58:47.110347+00:00,Ambulance,AREA_001,105,151,2,0.303,0
2025-11-17T02:47:47.110347+00:00,Civil Defense,AREA_034,163,1060,84,1.0,1
2025-11-25T16:40:47.110347+00:00,General Investigation,AREA_043,46,975,77,0.965,1
2025-12-06T14:17:47.110347+00:00,Civil Defense,AREA_008,108,1070,114,1.0,1
2025-11-28T04:29:47.110347+00:00,General Investigation,AREA_004,155,1156,41,0.43,0
2025-11-22T08:09:47.110347+00:00,National Guard,AREA_003,81,880,44,0.531,0
2025-12-06T16:28:47.110347+00:00,National Guard,AREA_019,86,320,107,1.0,1
2025-12-05T04:30:47.110347+00:00,Civil Defense,AREA_053,175,553,72,1.0,1
2025-11-15T06:55:47.110347+00:00,Civil Defense,AREA_002,41,718,56,0.696,0
2025-11-30T00:07:47.110347+00:00,Civil Defense,AREA_017,38,52,39,1.0,1
2025-12-06T22:47:47.110347+00:00,Police,AREA_027,144,1036,21,0.078,0
2025-11-23T09:04:47.110347+00:00,National Guard,AREA_000,144,737,53,1.0,1
2025-12-07T09:02:47.110347+00:00,Narcotics Control,AREA_045,78,205,3,0.524,0
2025-11-17T17:05:47.110347+00:00,National Guard,AREA_052,118,365,109,1.0,1
2025-11-30T15:48:47.110347+00:00,Narcotics Control,AREA_008,137,324,4,0.225,0
2025-11-17T23:57:47.110347+00:00,National Guard,AREA_008,165,70,31,1.0,1
2025-12-03T22:10:47.110347+00:00,Civil Defense,AREA_029,62,581,29,0.788,0
2025-12-04T12:54:47.110347+00:00,Narcotics Control,AREA_059,29,60,93,1.0,1
2025-11-20T00:32:47.110347+00:00,Civil Defense,AREA_013,85,306,52,1.0,1
2025-11-14T09:14:47.110347+00:00,National Guard,AREA_015,135,390,52,1.0,1
2025-12-10T04:39:47.110347+00:00,National Guard,AREA_058,81,203,115,1.0,1
2025-11-18T17:02:47.110347+00:00,Narcotics Control,AREA_051,31,197,71,1.0,1
2025-11-18T19:24:47.110347+00:00,General Investigation,AREA_058,58,300,105,1.0,1
2025-11-23T17:24:47.110347+00:00,Civil Defense,AREA_043,143,228,70,1.0,1
2025-11-25T04:26:47.110347+00:00,Civil Defense,AREA_023,158,132,3,0.742,0
2025-11-30T13:13:47.110347+00:00,General Investigation,AREA_041,96,154,35,1.0,1
2025-11-18T21:17:47.110347+00:00,Narcotics Control,AREA_039,147,601,14,0.301,0
2025-11-24T15:15:47.110347+00:00,Police,AREA_031,151,1055,89,0.953,1
2025-12-09T03:19:47.110347+00:00,General Investigation,AREA_034,18,1112,70,0.937,1
2025-11-24T16:08:47.110347+00:00,Police,AREA_025,127,607,119,1.0,1
2025-11-29T22:17:47.110347+00:00,National Guard,AREA_030,40,264,61,1.0,1
2025-11-28T15:15:47.110347+00:00,National Guard,AREA_028,106,465,60,1.0,1
2025-11-16T11:56:47.110347+00:00,Police,AREA_036,114,289,53,1.0,1
2025-11-24T05:54:47.110347+00:00,Ambulance,AREA_038,92,1092,14,0.353,0
2025-11-16T20:49:47.110347+00:00,National Guard,AREA_032,124,471,46,1.0,1
2025-12-07T16:00:47.110347+00:00,National Guard,AREA_005,99,216,71,1.0,1
2025-12-04T00:51:47.110347+00:00,Civil Defense,AREA_025,99,519,63,1.0,1
2025-12-06T13:29:47.110347+00:00,Police,AREA_010,49,1056,105,1.0,1
2025-11-19T20:21:47.110347+00:00,Narcotics Control,AREA_040,40,877,45,0.841,0
2025-11-28T13:31:47.110347+00:00,National Guard,AREA_024,54,950,27,0.706,0
2025-11-22T18:23:47.110347+00:00,General Investigation,AREA_012,28,783,77,1.0,1
2025-11-30T22:54:47.110347+00:00,Ambulance,AREA_039,54,227,79,1.0,1
2025-12-01T15:01:47.110347+00:00,Civil Defense,AREA_055,84,663,37,0.765,0
2025-12-02T20:10:47.110347+00:00,Civil Defense,AREA_011,86,878,78,0.962,1
2025-11-21T03:10:47.110347+00:00,Police,AREA_037,165,676,99,1.0,1
2025-12-12T10:55:47.110347+00:00,Police,AREA_006,135,201,12,0.986,1
2025-11-29T07:16:47.110347+00:00,General Investigation,AREA_059,160,512,96,1.0,1
2025-11-28T19:08:47.110347+00:00,Narcotics Control,AREA_006,88,1047,104,1.0,1
2025-12-02T22:32:47.110347+00:00,Narcotics Control,AREA_059,19,684,44,0.751,0
2025-12-04T15:35:47.110347+00:00,Narcotics Control,AREA_056,53,772,60,1.0,1
2025-12-02T07:00:47.110347+00:00,Ambulance,AREA_018,32,98,35,1.0,1
2025-12-11T22:14:47.110347+00:00,Police,AREA_059,22,596,116,1.0,1
2025-11-16T04:00:47.110347+00:00,Police,AREA_044,46,280,106,1.0,1
2025-12-12T16:52:47.110347+00:00,Narcotics Control,AREA_036,144,642,47,0.842,0
2025-11-29T23:20:47.110347+00:00,General Investigation,AREA_044,152,1033,58,0.777,0
2025-11-19T22:18:47.110347+00:00,National Guard,AREA_016,118,435,16,0.518,0
2025-12-06T17:32:47.110347+00:00,National Guard,AREA_025,51,332,0,0.058,0
2025-12-09T23:19:47.110347+00:00,National Guard,AREA_047,96,244,59,1.0,1
2025-11-25T02:18:47.110347+00:00,Ambulance,AREA_019,145,789,60,0.89,1
2025-11-17T13:35:47.110347+00:00,Narcotics Control,AREA_012,154,401,34,1.0,1
2025-11-15T09:48:47.110347+00:00,Police,AREA_016,94,264,45,1.0,1
2025-11-18T21:01:47.110347+00:00,Ambulance,AREA_036,41,940,105,1.0,1
2025-11-25T03:01:47.110347+00:00,Police,AREA_036,120,777,106,1.0,1
2025-12-02T17:23:47.110347+00:00,National Guard,AREA_016,35,184,9,0.767,0
2025-11-19T15:17:47.110347+00:00,Ambulance,AREA_013,170,884,81,1.0,1
2025-11-14T21:25:47.110347+00:00,Police,AREA_020,156,689,71,1.0,1
2025-11-17T10:38:47.110347+00:00,Police,AREA_033,92,280,48,1.0,1
2025-11-29T16:35:47.110347+00:00,Civil Defense,AREA_055,71,938,76,1.0,1
2025-11-16T22:57:47.110347+00:00,National Guard,AREA_050,50,119,106,1.0,1
2025-11-14T18:36:47.110347+00:00,Ambulance,AREA_002,58,905,83,1.0,1
2025-12-10T23:48:47.110347+00:00,Narcotics Control,AREA_012,57,1106,82,0.913,1
2025-12-01T15:37:47.110347+00:00,Ambulance,AREA_041,150,498,51,1.0,1
2025-11-24T18:43:47.110347+00:00,Narcotics Control,AREA_017,100,227,17,0.746,0
2025-12-10T01:01:47.110347+00:00,Ambulance,AREA_012,148,402,109,1.0,1
