unit_id,skill_name,proficiency_level,years_experience,incidents_handled_count,success_rate
U013982,negotiation,5,4.27,53,0.781
U000938,drug_raid,3,4.83,342,0.771
U030514,triage,1,13.33,282,0.736
U026572,crowd_control,2,3.96,351,0.81
U020599,medical_emergency,5,14.87,143,0.696
U007317,weapons,2,13.14,260,0.644
U029781,fire_response,1,6.54,104,0.575
U011883,medical_emergency,2,6.31,67,0.94
U047423,hostage,1,2.91,369,0.855
U004957,drug_raid,2,13.19,265,1.0
U038884,weapons,3,4.42,351,0.847
U048621,triage,1,11.45,379,0.702
U009127,medical_emergency,4,0.14,88,0.634
U046388,traffic_control,3,2.64,79,0.818
U041119,drug_raid,4,4.14,151,0.701
U009731,traffic_control,5,10.84,338,0.63
U014406,weapons,3,14.52,89,0.93
U043969,tactical,2,12.28,388,0.619
U048930,traffic_control,1,2.68,36,0.797
U009473,fire_response,1,2.56,362,0.757
U027505,traffic_control,3,4.92,383,1.0
U048149,tactical,5,12.12,332,0.858
U024082,fire_response,4,14.62,202,0.601
U009440,investigation,2,12.21,156,0.647
U043203,drug_raid,3,6.44,24,1.0
U027083,traffic_control,2,8.12,70,0.659
U030227,investigation,2,10.12,51,0.639
U000553,tactical,2,13.41,23,0.568
U007022,hostage,4,11.29,101,0.859
U017530,tactical,1,4.17,384,0.698
U005664,hostage,1,9.22,335,0.677
U017171,hostage,1,0.81,164,0.796
U027668,weapons,1,12.15,131,0.692
U043368,weapons,1,10.95,127,0.947
U024793,weapons,4,3.37,102,0.591
U044303,traffic_control,1,9.82,197,0.68
U005157,investigation,3,6.27,376,0.553
U023875,weapons,3,2.82,57,0.963
U021425,triage,2,5.7,22,0.629
U026176,drug_raid,4,13.74,366,0.954
U048028,fire_response,3,3.55,376,0.845
U010062,crowd_control,4,7.51,322,0.832
U014021,triage,2,8.19,187,0.772
U000406,crowd_control,1,1.63,363,0.826
U014339,hostage,2,0.09,299,0.817
U011206,medical_emergency,3,13.99,261,0.803
U005784,medical_emergency,3,7.21,108,0.459
U030048,negotiation,2,8.23,146,0.867
U045990,triage,2,12.01,79,0.808
U025961,rescue,3,9.18,207,0.548
U045429,rescue,4,2.91,340,0.589
U004566,negotiation,3,13.12,51,0.822
U014698,crowd_control,2,4.48,4,0.546
U003970,negotiation,1,4.4,356,0.708
U024423,weapons,3,8.9,336,0.738
U030767,traffic_control,1,8.88,217,0.602
U009708,drug_raid,5,9.47,123,0.872
U007371,hostage,4,3.8,316,0.718
U016250,tactical,1,14.93,194,0.852
U036172,investigation,4,6.57,293,0.843
U005486,medical_emergency,1,10.88,291,0.811
U046652,triage,2,5.38,240,0.814
U025024,tactical,2,2.42,131,0.798
U012211,medical_emergency,3,1.43,61,0.67
U042437,negotiation,3,14.7,134,0.5
U024041,triage,4,7.73,392,0.599
U009034,fire_response,4,11.94,310,0.546
U005841,investigation,2,0.18,334,0.767
U041675,weapons,2,9.47,395,0.542
U003925,fire_response,3,11.45,348,0.623
U041296,tactical,3,2.19,178,0.892
U020881,investigation,1,8.83,286,0.59
U013695,triage,5,2.94,236,0.645
U034398,triage,1,7.85,80,0.768
U019482,weapons,5,6.07,64,0.712
U042061,drug_raid,4,11.92,186,0.454
U017233,negotiation,3,2.1,123,0.572
U005842,tactical,5,6.19,355,0.971
U005799,rescue,2,5.2,195,0.86
U047124,negotiation,4,1.5,43,0.595
U031326,drug_raid,5,11.74,145,0.594
U006091,crowd_control,5,14.95,239,0.731
U013839,drug_raid,3,6.9,70,0.59
U003871,rescue,3,0.14,141,1.0
U022514,fire_response,3,1.95,367,0.699
U021615,fire_response,5,6.88,0,0.724
U040034,drug_raid,1,0.8,346,0.839
U043727,triage,5,13.28,76,0.947
U014423,traffic_control,3,6.5,186,0.503
U000821,weapons,2,5.58,327,0.811
U020422,weapons,3,10.72,90,0.683
U034492,rescue,1,13.36,159,0.73
U039262,medical_emergency,3,8.38,326,0.88
U023133,drug_raid,1,7.44,196,0.824
U012146,triage,3,12.55,362,0.402
U014070,drug_raid,3,10.33,153,0.61
U039346,medical_emergency,1,10.56,124,0.677
U017441,crowd_control,3,6.76,168,0.612
U012167,traffic_control,3,12.54,204,0.636
U009560,medical_emergency,5,7.67,131,0.543
U043564,hostage,2,6.19,155,0.902
U026998,negotiation,1,5.21,187,1.0
U042196,negotiation,5,14.02,113,0.662
U021805,negotiation,5,14.76,340,0.771
U020995,tactical,3,10.9,283,0.704
U024900,tactical,2,11.69,2,0.764
U036081,crowd_control,4,13.91,231,1.0
U000867,tactical,5,0.2,241,0.611
U025523,medical_emergency,4,9.5,97,0.699
U010522,weapons,3,11.51,73,0.929
U015925,drug_raid,1,2.98,0,0.95
U040808,medical_emergency,5,11.55,138,0.509
U035875,fire_response,3,9.83,311,0.584
U041416,tactical,3,6.54,277,0.769
U043340,drug_raid,1,2.63,266,0.729
U030466,weapons,2,1.86,82,0.779
U033862,rescue,4,4.43,371,0.747
U036866,rescue,5,13.22,173,0.654
U034105,hostage,3,10.24,118,0.63
U043692,drug_raid,5,3.18,116,0.806
U009271,fire_response,3,9.76,59,0.75
U035259,medical_emergency,5,7.32,356,0.875
U043520,fire_response,3,13.75,340,0.62
U048627,negotiation,5,1.26,10,0.615
U036767,weapons,2,6.61,154,0.707
U048708,traffic_control,1,12.46,127,0.758
U003689,crowd_control,5,14.99,387,0.742
U010253,weapons,4,9.7,305,0.77
U032694,triage,2,4.28,284,0.896
U000512,fire_response,1,10.24,235,0.727
U001725,rescue,1,9.53,240,0.639
U002556,investigation,4,1.92,122,0.565
U042298,crowd_control,4,3.33,368,0.841
U005494,negotiation,4,9.18,247,0.821
U042722,crowd_control,4,4.35,368,0.559
U046119,weapons,1,12.33,49,0.907
U029767,hostage,3,6.05,35,0.791
U014816,crowd_control,3,2.74,180,0.692
U037900,investigation,4,9.26,327,0.526
U047622,medical_emergency,3,14.67,222,0.611
U004567,rescue,5,6.97,244,0.848
U045671,rescue,5,2.54,321,0.848
U026874,fire_response,3,11.55,252,0.415
U039625,rescue,4,4.87,158,0.675
U040247,drug_raid,5,5.66,290,0.508
U025585,negotiation,3,5.2,309,0.673
U027343,crowd_control,1,5.84,365,0.873
U041494,medical_emergency,5,8.07,16,1.0
U015258,weapons,3,1.95,242,0.626
U042637,traffic_control,4,8.37,190,0.656
U009842,crowd_control,2,3.29,62,0.443
U000227,crowd_control,3,6.53,283,0.914
U022842,weapons,4,11.11,131,0.778
U014784,triage,5,0.54,363,0.938
U035335,tactical,3,1.81,334,0.727
U045743,drug_raid,4,7.0,166,0.7
U025516,investigation,3,6.99,145,0.851
U003976,weapons,1,3.25,177,0.759
U030915,traffic_control,2,8.92,251,0.669
U047652,triage,4,1.94,41,0.896
U019755,fire_response,5,0.66,289,0.653
U001783,traffic_control,4,13.84,285,0.684
U048359,rescue,1,2.96,178,0.94
U005433,rescue,4,6.91,35,0.543
U021580,weapons,1,11.06,130,0.472
U045500,triage,4,5.2,105,0.568
U006344,weapons,5,4.27,329,0.867
U020624,rescue,5,8.21,148,0.552
U021711,medical_emergency,3,4.59,392,0.959
U007970,investigation,1,7.46,185,0.865
U004504,tactical,2,1.05,108,0.539
U028504,hostage,4,5.9,320,0.808
U000947,negotiation,5,14.98,390,0.911
U028955,hostage,2,5.54,78,0.648
U020855,traffic_control,2,6.16,219,0.876
U003093,investigation,5,6.95,144,0.767
U009997,crowd_control,3,0.33,283,0.576
U039610,drug_raid,1,5.39,351,0.838
U032873,drug_raid,1,14.11,142,0.92
U048605,traffic_control,2,5.29,373,0.503
U040586,medical_emergency,4,2.41,370,0.435
U019468,fire_response,5,10.45,179,0.66
U000822,crowd_control,2,4.94,124,0.921
U004216,traffic_control,5,11.02,7,0.933
U049724,fire_response,1,7.07,67,1.0
U046064,weapons,4,14.82,271,0.553
U016900,hostage,1,5.82,98,0.909
U023307,traffic_control,3,13.88,244,0.805
U004731,negotiation,2,2.04,258,0.708
U016198,fire_response,5,4.38,232,0.728
U009297,hostage,1,11.6,124,0.921
U039539,investigation,4,4.08,373,0.698
U028351,weapons,1,13.48,317,0.682
U028187,tactical,4,6.71,293,0.769
U006509,traffic_control,1,3.14,269,0.842
U040678,fire_response,3,11.27,122,0.993
U034789,triage,5,13.54,189,0.902
U011426,negotiation,2,10.97,308,0.904
U032024,traffic_control,2,12.58,282,0.744
U035217,triage,2,9.89,46,0.864
U036799,traffic_control,3,8.22,110,0.798
U004366,negotiation,5,14.87,286,0.744
U046700,medical_emergency,5,11.77,135,1.0
U005849,hostage,5,8.05,133,0.59
U047391,medical_emergency,2,5.26,27,0.88
U002903,fire_response,4,2.92,166,0.845
U011424,hostage,1,2.19,178,0.789
U002986,triage,1,4.82,189,0.741
U017711,rescue,3,0.79,12,0.723
U007113,medical_emergency,4,8.57,377,0.847
U029466,triage,1,8.72,30,0.672
U027704,hostage,5,9.12,328,0.695
U034848,hostage,5,10.97,246,0.718
U006412,hostage,3,5.15,347,0.639
U022974,fire_response,2,3.91,187,0.696
U029347,investigation,3,11.05,183,0.737
U007932,weapons,2,2.62,135,0.815
U037036,crowd_control,3,4.21,168,0.687
U030370,triage,1,13.29,232,1.0
U010302,weapons,2,0.83,173,0.779
U049708,weapons,1,1.15,315,0.971
U043396,fire_response,1,0.51,348,0.819
U006673,medical_emergency,4,7.58,180,0.679
U010842,rescue,5,12.52,0,0.92
U013522,triage,3,5.34,275,0.684
U047227,traffic_control,2,11.46,80,0.534
U036678,triage,1,11.71,323,0.709
U032989,traffic_control,4,2.19,83,0.43
U018912,investigation,2,5.85,7,0.956
U021704,rescue,2,7.69,306,0.752
U019077,triage,3,0.44,365,0.708
U010472,traffic_control,1,11.24,20,0.963
U001460,triage,4,7.25,330,0.78
U008019,fire_response,1,13.03,36,0.856
U007793,traffic_control,4,10.86,207,0.807
U014285,tactical,3,8.54,100,0.633
U042359,traffic_control,4,14.6,349,0.647
U001264,tactical,5,4.06,255,0.831
U003437,investigation,5,2.55,191,0.676
U043203,medical_emergency,5,6.05,5,0.663
U020992,fire_response,4,11.94,126,0.606
U033176,investigation,3,11.05,176,0.556
U009535,tactical,3,4.28,147,0.692
U026265,medical_emergency,5,3.76,247,0.446
U009201,triage,3,2.44,159,0.769
U009406,hostage,3,1.12,10,0.52
U014286,hostage,4,11.22,90,0.917
U041318,triage,2,1.57,120,0.688
U026101,tactical,1,0.8,123,0.687
U005025,rescue,1,2.04,382,0.387
U003104,tactical,3,1.85,202,0.841
U028475,traffic_control,3,11.18,43,0.602
U034460,triage,4,9.05,32,0.771
U046436,tactical,2,4.84,141,0.653
U006463,traffic_control,4,10.92,200,0.638
U000867,tactical,2,13.39,113,0.635
U016218,traffic_control,3,9.73,148,0.581
U025224,triage,2,0.31,236,0.695
U005451,tactical,4,10.23,214,0.808
U045184,investigation,5,13.39,286,0.736
U033853,drug_raid,1,13.59,166,0.793
U040304,crowd_control,5,11.41,14,0.701
U027668,rescue,5,7.2,173,1.0
U001516,fire_response,1,8.04,29,0.682
U023183,medical_emergency,2,9.46,202,0.701
U012545,crowd_control,5,3.36,7,1.0
U041199,triage,2,2.62,317,0.626
U007946,negotiation,3,7.64,25,0.779
U017541,hostage,1,7.03,95,0.83
U040090,negotiation,3,4.2,124,0.586
U048134,negotiation,5,4.51,11,0.818
U011245,hostage,2,12.01,286,0.772
U022044,crowd_control,4,2.39,50,0.59
U046163,triage,5,6.43,345,0.806
U042096,rescue,5,6.35,121,0.701
U033139,rescue,4,9.13,73,0.959
U035115,drug_raid,3,7.41,323,0.739
U015030,rescue,3,5.76,274,0.431
U037732,negotiation,3,0.69,257,0.613
U002909,triage,3,6.64,50,0.849
U014326,crowd_control,2,9.94,342,0.654
U005583,traffic_control,5,11.23,249,1.0
U034260,tactical,5,13.52,339,0.717
U045655,fire_response,4,9.88,328,0.594
U023578,negotiation,2,8.16,332,0.85
U006522,rescue,5,9.07,325,0.62
U036207,crowd_control,5,7.43,211,0.876
U015863,traffic_control,2,0.07,105,0.722
U043213,investigation,4,5.81,86,0.621
U026045,tactical,1,14.87,365,0.645
U020727,drug_raid,4,8.47,373,0.695
U037684,rescue,5,0.47,120,0.689
U044902,drug_raid,3,12.5,388,0.597
U029730,medical_emergency,3,8.6,248,0.713
U019978,triage,4,1.61,293,0.553
U013405,triage,2,8.96,251,0.906
U036032,investigation,4,14.83,396,0.777
U048080,triage,5,8.78,263,0.732
U012869,rescue,4,9.81,304,0.966
U024570,traffic_control,5,0.5,70,0.609
U025732,rescue,4,10.09,79,0.743
U019487,weapons,2,9.27,44,0.678
U021686,fire_response,2,1.41,352,0.612
U032651,crowd_control,1,5.32,384,1.0
U046624,hostage,1,3.22,132,0.93
U002038,investigation,5,12.57,123,0.621
U035353,rescue,4,10.12,7,0.7
U021147,investigation,4,9.87,73,0.737
U019358,rescue,2,9.0,199,0.828
U014823,negotiation,3,10.35,113,0.824
U044548,tactical,4,3.37,318,0.77
U030113,medical_emergency,3,4.39,305,0.756
U009062,fire_response,2,4.54,60,0.883
U005618,crowd_control,4,4.79,123,0.661
U000285,investigation,1,10.33,51,0.931
U028602,weapons,2,5.67,111,0.979
U022027,tactical,3,7.32,298,0.632
U047920,investigation,1,8.96,23,0.848
U036727,rescue,1,7.46,219,0.435
U037135,rescue,1,9.58,81,0.801
U007968,crowd_control,1,1.89,131,0.823
U039219,weapons,1,3.26,365,0.678
U002751,hostage,1,4.76,179,0.746
U015186,tactical,3,1.17,244,0.687
U026384,tactical,3,8.69,112,0.728
U033510,tactical,5,5.0,237,0.742
U046126,tactical,4,10.36,144,0.917
U022151,traffic_control,2,10.14,251,0.605
U016670,investigation,1,2.92,224,0.649
U026374,negotiation,4,9.69,36,0.951
U005595,triage,4,14.88,118,0.461
U036366,hostage,2,8.27,114,0.645
U037535,hostage,5,10.35,74,0.74
U015551,fire_response,1,7.6,399,0.634
U039842,drug_raid,2,11.16,97,0.736
U038551,traffic_control,1,7.97,285,0.846
U025941,fire_response,4,14.48,136,0.853
U009566,investigation,4,10.05,96,0.83
U048896,medical_emergency,3,3.07,211,0.696
U035833,triage,3,4.34,272,0.438
U022774,fire_response,5,1.18,311,0.883
U014332,weapons,1,3.18,42,0.4
U005826,drug_raid,2,8.5,141,0.974
U000788,investigation,1,14.99,393,0.482
U011357,triage,3,0.24,57,0.49
U048234,weapons,3,11.94,200,0.759
U014427,rescue,5,10.94,168,0.762
U047092,medical_emergency,3,10.87,40,0.709
U036648,tactical,2,6.62,178,0.763
U010120,tactical,4,10.36,152,0.909
U039403,investigation,5,6.3,277,0.498
U044587,weapons,4,5.83,125,0.826
U012559,rescue,4,6.6,176,0.716
U019431,drug_raid,2,2.34,205,0.602
U023862,fire_response,1,9.5,281,0.756
U016363,weapons,1,8.89,48,0.705
U042835,medical_emergency,1,0.91,395,0.977
U018783,tactical,2,2.48,334,0.54
U024415,traffic_control,4,12.69,34,0.679
U003614,drug_raid,2,9.11,327,0.945
U012074,investigation,2,8.24,337,0.936
U047221,fire_response,5,6.25,55,0.729
U039337,triage,4,1.05,36,0.57
U049953,traffic_control,2,3.52,297,0.401
U045929,hostage,3,3.4,334,0.751
U006585,fire_response,4,11.46,90,0.732
U014520,traffic_control,3,2.09,170,0.424
U006552,crowd_control,2,4.69,317,0.793
U043887,fire_response,1,9.35,192,0.595
U031796,rescue,5,0.13,368,0.46
U002784,fire_response,3,11.75,219,0.637
U013600,traffic_control,1,12.16,18,0.724
U044241,drug_raid,1,3.55,240,0.886
U040047,tactical,3,9.94,126,0.608
U015316,investigation,1,5.92,390,0.762
U000018,weapons,2,1.78,10,0.987
U030803,crowd_control,5,3.42,307,0.973
U021018,rescue,1,5.24,300,0.75
U025558,rescue,1,12.7,22,0.876
U033022,fire_response,4,10.42,324,0.578
U049210,negotiation,1,9.39,227,0.698
U044423,hostage,1,14.46,228,0.726
U035991,hostage,4,4.99,344,0.622
U011501,crowd_control,5,1.51,26,0.582
U042249,medical_emergency,5,1.83,387,0.653
U035437,investigation,1,11.33,399,0.955
U032196,crowd_control,1,8.69,165,0.819
U037969,tactical,4,12.57,224,0.926
U034525,hostage,5,13.39,92,0.538
U046439,traffic_control,5,13.1,245,0.705
U038768,hostage,5,7.88,17,0.599
U015323,drug_raid,1,9.75,186,0.894
U040820,triage,5,13.56,291,0.725
U039813,investigation,2,4.2,181,0.727
U022172,fire_response,2,7.69,65,0.717
U006510,triage,4,11.55,147,0.639
U014914,fire_response,1,1.5,376,0.563
U027455,drug_raid,5,6.3,299,0.852
U002094,negotiation,3,9.62,303,0.68
U040677,investigation,1,1.14,107,1.0
U003215,crowd_control,5,6.59,45,1.0
U022332,rescue,4,7.85,53,0.802
U005716,fire_response,3,4.64,2,0.696
U032669,fire_response,4,0.89,343,0.608
U003646,crowd_control,5,8.46,251,0.573
U029317,hostage,5,13.48,348,0.816
U028705,medical_emergency,4,12.86,93,0.81
U003116,rescue,4,0.97,223,0.656
U048205,medical_emergency,5,3.75,356,0.589
U032296,tactical,5,8.97,175,0.586
U021250,drug_raid,4,14.25,10,1.0
U009674,drug_raid,1,13.11,350,0.799
U027118,triage,3,4.42,15,0.738
U026423,medical_emergency,4,0.77,35,0.946
U043886,traffic_control,2,14.32,141,0.698
U013045,rescue,2,4.27,126,0.553
U015082,triage,5,5.69,60,0.623
U001520,negotiation,1,7.6,198,0.701
U041938,fire_response,4,11.87,63,0.887
U045734,fire_response,2,8.07,185,0.958
U037706,rescue,5,6.96,14,0.767
U047600,medical_emergency,4,1.2,385,0.55
U031570,triage,2,13.91,238,0.54
U048627,hostage,1,8.29,258,0.663
U042667,weapons,3,0.8,156,0.678
U049106,medical_emergency,2,6.52,35,0.772
U046687,triage,2,5.11,256,0.754
U042833,rescue,2,3.66,367,1.0
U026125,investigation,2,14.19,26,0.592
U021804,investigation,3,3.77,198,0.675
U005485,drug_raid,4,13.3,78,0.776
U042566,traffic_control,3,3.29,70,0.599
U003235,investigation,4,9.38,59,0.667
U012286,traffic_control,1,4.59,318,0.564
U018435,tactical,1,5.04,186,0.689
U040946,medical_emergency,1,10.4,79,1.0
U023327,crowd_control,3,7.31,139,0.853
U011782,hostage,4,2.66,392,0.833
U025028,tactical,5,2.91,304,0.794
U039605,negotiation,5,10.41,256,0.858
U035472,tactical,3,1.0,247,0.9
U020684,crowd_control,5,11.4,206,0.875
U012436,hostage,1,9.66,141,0.981
U034612,negotiation,3,1.38,6,0.809
U030295,fire_response,5,10.17,164,0.69
U000907,rescue,2,9.77,72,0.593
U031467,fire_response,5,7.77,74,0.734
U012417,drug_raid,5,10.3,122,0.71
U027358,weapons,5,6.08,380,0.596
U009303,drug_raid,2,13.65,52,0.588
U014901,traffic_control,3,9.8,202,0.708
U049513,negotiation,2,1.05,217,0.587
U010876,weapons,2,3.22,275,0.475
U003026,rescue,2,3.79,154,0.757
U024734,medical_emergency,5,12.55,39,0.73
U024926,weapons,1,9.84,3,0.702
U024498,hostage,5,12.34,393,0.577
U020242,hostage,2,5.82,272,0.732
U003215,investigation,3,3.4,23,0.873
U025391,tactical,4,4.44,328,0.812
U015822,crowd_control,3,7.45,61,0.561
U033045,traffic_control,4,10.77,121,0.524
U044820,investigation,4,11.01,289,0.514
U017889,crowd_control,3,12.72,281,0.831
U042785,medical_emergency,1,0.78,267,0.568
U012907,rescue,4,6.45,372,0.814
U008426,negotiation,2,8.44,351,0.919
U022840,medical_emergency,3,10.96,32,0.632
U041420,rescue,3,12.42,240,0.763
U033783,investigation,2,6.06,47,0.653
U026370,triage,1,12.31,282,0.577
U047952,tactical,2,6.76,279,0.657
U026213,investigation,3,2.24,369,0.678
U032231,fire_response,5,13.69,96,0.789
U048801,medical_emergency,2,4.56,294,0.634
U034563,tactical,4,12.77,281,0.709
U011589,tactical,3,5.37,138,0.691
U004451,negotiation,5,11.51,252,0.748
U005078,fire_response,4,7.42,346,0.727
U040181,triage,2,0.87,167,0.851
U042211,medical_emergency,1,11.74,54,0.699
U038282,hostage,2,13.95,382,0.811
U000656,tactical,3,10.46,252,0.496
U009829,investigation,5,13.93,356,0.532
U008543,drug_raid,2,8.14,82,0.85
U010874,crowd_control,3,6.13,16,0.765
U005758,medical_emergency,5,13.82,331,0.538
U011925,negotiation,5,10.16,396,1.0
U046708,rescue,5,5.81,212,0.68
U042863,tactical,2,10.94,155,0.608
U034349,rescue,3,12.47,111,0.646
U012029,drug_raid,1,11.81,381,0.653
U013082,negotiation,4,14.91,140,0.749
U018410,weapons,1,13.73,298,0.541
U013089,hostage,2,4.49,151,0.884
U008161,medical_emergency,3,5.77,46,0.717
U023401,fire_response,4,10.51,80,0.786
U023966,investigation,2,11.02,48,0.649
U004026,rescue,5,4.16,234,0.825
U047018,drug_raid,1,11.66,194,0.849
U008569,rescue,2,9.66,368,0.658
U027663,weapons,5,7.28,57,0.726
U013953,traffic_control,2,9.34,15,0.842
U006722,triage,3,6.27,33,0.88
U030067,drug_raid,5,13.43,370,0.741
U016530,medical_emergency,4,5.93,298,0.713
U036058,drug_raid,2,12.75,103,0.864
U030041,triage,3,9.96,98,0.856
U027539,weapons,3,14.63,11,0.483
U049238,tactical,2,11.5,69,0.906
U049232,negotiation,3,9.51,185,0.766
U013079,weapons,1,3.94,385,0.848
U027808,investigation,2,10.56,340,0.638
U026601,triage,3,5.37,219,0.68
U001738,weapons,4,14.7,278,0.688
U029806,drug_raid,2,6.92,19,0.822
U014479,hostage,3,3.91,58,0.861
U004435,crowd_control,4,2.9,362,0.78
U038399,hostage,4,3.49,102,0.741
U045116,triage,5,8.06,327,0.7
U020791,rescue,5,11.21,75,0.853
U044891,medical_emergency,3,11.71,93,0.876
U036040,fire_response,3,6.69,303,0.874
U015670,triage,4,6.19,42,0.761
U028283,hostage,1,6.07,202,0.763
U031924,investigation,2,6.61,8,0.798
U049264,negotiation,2,10.94,80,0.777
U008607,weapons,2,11.33,51,0.817
U022982,drug_raid,1,7.33,336,0.805
U015988,drug_raid,4,7.26,365,0.639
U019207,drug_raid,3,6.71,229,0.667
U033799,traffic_control,5,9.78,68,0.834
U016522,tactical,2,14.94,357,0.506
U010833,investigation,3,1.19,50,0.805
U040084,crowd_control,3,4.74,153,0.82
U044355,crowd_control,2,12.39,360,0.777
U028053,fire_response,3,11.28,29,0.734
U047516,medical_emergency,4,9.58,96,0.885
U002369,medical_emergency,5,6.94,194,0.589
U000570,triage,2,8.52,79,0.57
U028947,traffic_control,3,2.58,191,0.925
U039670,weapons,1,3.03,356,0.993
U007287,drug_raid,5,13.64,257,0.853
U005630,investigation,1,9.09,4,0.715
U015630,drug_raid,2,1.08,285,0.807
U025641,traffic_control,5,4.43,232,0.6
U040932,weapons,3,5.46,22,0.832
U048288,traffic_control,4,14.82,109,0.816
U048610,traffic_control,2,7.2,217,0.834
U042743,investigation,4,6.93,393,0.879
U036166,investigation,2,3.6,27,0.9
U049457,traffic_control,4,3.55,389,0.945
U016396,medical_emergency,2,5.52,197,0.58
U034106,investigation,3,7.42,223,0.889
U033157,negotiation,2,10.53,14,0.73
U023373,triage,5,13.75,383,0.748
U018595,fire_response,2,14.67,209,0.673
U029631,traffic_control,4,12.49,49,0.504
U024762,triage,3,2.21,327,0.489
U036722,investigation,1,1.7,254,0.786
U030115,weapons,4,1.27,101,0.887
U049176,weapons,1,3.33,354,0.683
U043845,fire_response,2,12.97,94,0.679
U015976,weapons,2,10.88,292,0.64
U027309,crowd_control,1,14.08,368,0.742
U013257,medical_emergency,2,13.29,344,0.722
U013141,triage,1,10.29,156,0.967
U042331,hostage,4,2.2,9,0.768
U031930,tactical,1,3.87,160,0.907
U008217,crowd_control,2,9.11,147,0.708
U027399,drug_raid,1,2.53,113,0.864
U017887,drug_raid,1,5.16,206,0.854
U004634,tactical,1,10.55,329,0.933
U049771,fire_response,1,14.6,256,0.67
U025260,medical_emergency,1,10.01,223,0.865
U039801,fire_response,3,1.06,284,0.753
U035503,rescue,2,10.34,70,0.611
U006354,triage,3,5.09,276,0.793
U010589,fire_response,4,1.96,251,0.734
U040029,tactical,4,1.4,228,0.674
U047769,hostage,4,0.36,185,0.7
U021108,triage,3,11.6,385,0.684
U039717,traffic_control,3,11.61,235,0.763
U038218,tactical,5,5.35,253,0.552
U037282,weapons,2,0.93,3,0.753
U009545,crowd_control,5,7.79,16,0.751
U031621,medical_emergency,5,5.0,45,0.606
U014376,negotiation,5,2.03,74,0.739
U018269,rescue,4,1.29,151,0.697
U026234,drug_raid,4,0.1,50,0.754
U016272,hostage,5,2.38,74,0.757
U014836,investigation,5,7.96,148,0.418
U013933,fire_response,3,2.73,139,0.644
U024785,medical_emergency,4,14.97,129,1.0
U047960,drug_raid,3,1.01,192,0.913
U037378,medical_emergency,2,10.92,372,0.848
U021380,tactical,5,0.88,320,0.512
U019024,fire_response,5,0.1,383,0.638
U038403,hostage,1,1.12,172,0.539
U031547,crowd_control,4,9.1,283,0.848
U012605,investigation,1,11.31,112,0.562
U023437,drug_raid,4,3.05,314,0.488
U049692,medical_emergency,1,12.01,392,0.759
U047173,traffic_control,2,9.12,216,0.539
U012429,weapons,4,2.18,307,0.565
U035900,triage,4,13.19,225,0.78
U022023,rescue,4,2.55,32,0.968
U009323,medical_emergency,2,7.23,143,0.89
