unit_id,date,shift_start,shift_end,planned_people,overtime_allowed
U000422,2025-12-09,14:00,22:00,13,True
U000423,2025-12-13,14:00,22:00,17,False
U000424,2025-11-25,14:00,22:00,15,False
U000425,2025-11-14,06:00,14:00,9,False
U000426,2025-12-02,22:00,06:00,12,False
U000427,2025-12-09,06:00,14:00,15,False
U000428,2025-12-06,14:00,22:00,11,False
U000429,2025-12-07,06:00,14:00,4,False
U000430,2025-12-06,22:00,06:00,4,False
U000431,2025-12-03,06:00,14:00,10,False
U000432,2025-12-02,06:00,14:00,13,False
U000433,2025-12-01,14:00,22:00,15,False
U000434,2025-12-08,22:00,06:00,4,False
U000435,2025-11-14,06:00,14:00,6,False
U000436,2025-12-05,22:00,06:00,11,False
U000437,2025-12-07,22:00,06:00,4,True
U000438,2025-11-18,14:00,22:00,12,False
U000439,2025-12-03,14:00,22:00,12,True
U000440,2025-11-21,22:00,06:00,22,False
U000441,2025-12-03,06:00,14:00,7,False
U000442,2025-12-02,06:00,14:00,7,False
U000443,2025-12-09,14:00,22:00,11,False
U000444,2025-11-30,14:00,22:00,10,False
U000445,2025-11-27,06:00,14:00,17,False
U000446,2025-12-03,06:00,14:00,2,False
U000447,2025-11-30,06:00,14:00,8,False
U000448,2025-11-16,14:00,22:00,7,False
U000449,2025-11-29,14:00,22:00,10,True
U000450,2025-11-29,14:00,22:00,4,False
U000451,2025-12-02,14:00,22:00,15,True
U000452,2025-11-18,14:00,22:00,18,False
U000453,2025-12-05,06:00,14:00,3,False
U000454,2025-11-19,06:00,14:00,14,False
U000455,2025-11-21,06:00,14:00,15,False
U000456,2025-11-19,14:00,22:00,15,False
U000457,2025-11-19,14:00,22:00,7,False
U000458,2025-11-15,06:00,14:00,16,True
U000459,2025-11-20,14:00,22:00,20,False
U000460,2025-12-06,06:00,14:00,18,False
U000461,2025-12-09,06:00,14:00,6,False
U000462,2025-12-13,22:00,06:00,14,False
U000463,2025-11-18,06:00,14:00,7,True
U000464,2025-11-25,06:00,14:00,18,True
U000465,2025-11-16,22:00,06:00,19,True
U000466,2025-11-25,22:00,06:00,15,True
U000467,2025-12-05,22:00,06:00,16,False
U000468,2025-11-26,14:00,22:00,10,False
U000469,2025-11-19,06:00,14:00,17,True
U000470,2025-11-20,14:00,22:00,15,False
U000471,2025-11-30,14:00,22:00,6,True
U000472,2025-12-02,22:00,06:00,20,False
U000473,2025-11-21,06:00,14:00,13,False
U000474,2025-11-27,06:00,14:00,7,True
U000475,2025-11-28,06:00,14:00,11,False
U000476,2025-12-10,14:00,22:00,11,False
U000477,2025-12-05,14:00,22:00,13,False
U000478,2025-11-29,14:00,22:00,5,True
U000479,2025-12-01,06:00,14:00,12,True
U000480,2025-12-06,06:00,14:00,10,False
U000481,2025-11-27,22:00,06:00,6,False
U000482,2025-11-30,06:00,14:00,10,False
U000483,2025-11-22,22:00,06:00,13,False
U000484,2025-12-11,22:00,06:00,11,False
U000485,2025-11-26,06:00,14:00,3,False
U000486,2025-11-28,06:00,14:00,3,False
U000487,2025-11-27,06:00,14:00,9,True
U000488,2025-11-23,14:00,22:00,2,False
U000489,2025-11-29,14:00,22:00,18,False
U000490,2025-12-11,06:00,14:00,4,True
U000491,2025-11-14,14:00,22:00,7,True
U000492,2025-11-16,14:00,22:00,11,True
U000493,2025-12-03,14:00,22:00,17,False
U000494,2025-11-16,22:00,06:00,18,True
U000495,2025-11-20,06:00,14:00,12,True
U000496,2025-11-17,14:00,22:00,14,False
U000497,2025-11-14,22:00,06:00,10,False
U000498,2025-12-11,14:00,22:00,5,False
U000499,2025-11-29,06:00,14:00,13,False
U000500,2025-12-10,22:00,06:00,14,False
U000501,2025-12-01,06:00,14:00,2,True
U000502,2025-12-13,22:00,06:00,5,True
U000503,2025-12-10,22:00,06:00,4,False
U000504,2025-11-19,22:00,06:00,7,False
U000505,2025-12-10,06:00,14:00,16,False
U000506,2025-12-09,22:00,06:00,9,False
U000507,2025-11-29,06:00,14:00,2,False
U000508,2025-11-22,06:00,14:00,4,True
U000509,2025-11-23,14:00,22:00,16,False
U000510,2025-12-08,22:00,06:00,12,False
U000511,2025-11-18,22:00,06:00,13,False
U000512,2025-11-26,06:00,14:00,5,False
U000513,2025-11-26,14:00,22:00,6,False
U000514,2025-12-05,06:00,14:00,11,False
U000515,2025-12-12,22:00,06:00,12,False
U000516,2025-11-20,06:00,14:00,13,True
U000517,2025-11-23,14:00,22:00,14,False
U000518,2025-11-15,06:00,14:00,14,False
U000519,2025-11-15,06:00,14:00,7,False
U000520,2025-12-13,14:00,22:00,13,False
U000521,2025-12-03,06:00,14:00,11,False
U000522,2025-11-15,22:00,06:00,13,False
U000523,2025-11-27,06:00,14:00,14,False
U000524,2025-12-05,22:00,06:00,5,False
U000525,2025-11-21,06:00,14:00,10,False
U000526,2025-12-07,06:00,14:00,14,True
U000527,2025-12-03,14:00,22:00,4,True
U000528,2025-11-14,06:00,14:00,5,False
U000529,2025-12-11,06:00,14:00,9,False
U000530,2025-11-22,22:00,06:00,17,False
U000531,2025-11-22,06:00,14:00,7,False
U000532,2025-12-03,06:00,14:00,7,True
U000533,2025-12-01,22:00,06:00,7,True
U000534,2025-12-06,14:00,22:00,14,False
U000535,2025-11-16,06:00,14:00,21,False
U000536,2025-12-03,22:00,06:00,11,False
U000537,2025-12-07,06:00,14:00,13,False
U000538,2025-11-23,14:00,22:00,13,False
U000539,2025-12-11,22:00,06:00,21,False
U000540,2025-12-10,06:00,14:00,20,True
U000541,2025-11-20,22:00,06:00,14,False
U000542,2025-12-01,14:00,22:00,19,False
U000543,2025-11-17,14:00,22:00,13,False
U000544,2025-12-13,14:00,22:00,11,False
U000545,2025-12-12,06:00,14:00,18,False
U000546,2025-11-22,14:00,22:00,19,False
U000547,2025-11-14,06:00,14:00,13,False
U000548,2025-11-21,14:00,22:00,17,False
U000549,2025-11-24,06:00,14:00,12,False
U000550,2025-12-05,14:00,22:00,14,False
U000551,2025-11-15,06:00,14:00,4,False
U000552,2025-11-24,14:00,22:00,19,True
U000553,2025-12-13,06:00,14:00,3,True
U000554,2025-12-06,22:00,06:00,15,False
U000555,2025-12-05,22:00,06:00,14,True
U000556,2025-12-09,06:00,14:00,17,False
U000557,2025-11-14,14:00,22:00,17,False
U000558,2025-11-30,14:00,22:00,21,True
U000559,2025-12-11,14:00,22:00,11,False
U000560,2025-11-28,22:00,06:00,13,False
U000561,2025-12-03,06:00,14:00,18,False
U000562,2025-12-12,14:00,22:00,3,True
U000563,2025-12-06,06:00,14:00,4,True
U000564,2025-11-22,14:00,22:00,4,False
U000565,2025-12-04,06:00,14:00,11,False
U000566,2025-12-03,06:00,14:00,4,False
U000567,2025-11-28,06:00,14:00,5,True
U000568,2025-11-22,06:00,14:00,13,True
U000569,2025-12-13,14:00,22:00,12,True
U000570,2025-11-30,14:00,22:00,20,False
U000571,2025-11-28,06:00,14:00,22,False
U000572,2025-11-15,06:00,14:00,19,False
U000573,2025-11-15,06:00,14:00,11,False
U000574,2025-12-08,22:00,06:00,8,False
U000575,2025-12-13,14:00,22:00,20,False
U000576,2025-11-29,06:00,14:00,12,False
U000577,2025-11-14,06:00,14:00,20,False
U000578,2025-11-19,06:00,14:00,10,True
U000579,2025-11-25,22:00,06:00,5,False
U000580,2025-11-16,14:00,22:00,10,False
U000581,2025-12-07,14:00,22:00,5,True
U000582,2025-12-11,14:00,22:00,5,False
U000583,2025-12-04,22:00,06:00,6,False
U000584,2025-11-29,22:00,06:00,12,False
U000585,2025-12-08,06:00,14:00,16,True
U000586,2025-11-25,22:00,06:00,2,True
U000587,2025-11-27,06:00,14:00,8,True
U000588,2025-12-08,06:00,14:00,7,False
U000589,2025-12-03,14:00,22:00,15,True
U000590,2025-11-23,22:00,06:00,7,False
U000591,2025-12-09,22:00,06:00,4,False
U000592,2025-12-05,14:00,22:00,17,False
U000593,2025-11-16,22:00,06:00,3,False
U000594,2025-11-26,22:00,06:00,9,True
U000595,2025-12-10,14:00,22:00,11,False
U000596,2025-11-21,06:00,14:00,5,True
U000597,2025-12-06,06:00,14:00,11,False
U000598,2025-12-05,06:00,14:00,7,True
U000599,2025-12-05,22:00,06:00,7,False
U000600,2025-12-05,14:00,22:00,7,False
U000601,2025-11-23,14:00,22:00,8,True
U000602,2025-11-23,22:00,06:00,7,False
U000603,2025-12-04,14:00,22:00,4,False
U000604,2025-11-26,22:00,06:00,10,True
U000605,2025-12-06,22:00,06:00,5,False
